nid,count
81005,3
3183,1
19571,6
19305,4
5241,1
19579,6
13436,5
58218,1
264910,1
19587,3
13445,6
23687,1
93320,1
93321,2
3212,1
41837,1
152720,6
3218,1
19604,3
1175,1
13465,6
9370,1
56476,2
19614,6
152735,5
56480,2
322400,1
2017,1
881,6
148649,6
19627,6
7340,6
5294,1
56520,2
19637,3
256201,1
285880,1
39455,1
91324,5
56509,1
1214,1
19647,1
21024,3
285891,1
38230,2
285893,1
19656,6
27511,2
9422,1
152783,6
95440,6
10000041,1
19670,6
164729,1
7375,5
1245,2
9439,6
9951,2
19683,6
23780,1
13544,3
7401,5
56554,1
27885,1
56558,1
19695,3
5360,1
95474,1
40179,2
45549,1
27525,3
40186,2
206075,5
11516,3
56573,1
43142,2
5376,2
56577,2
82832,6
7427,1
13572,1
111877,1
10000075,1
159617,5
19720,6
1289,5
115486,3
7438,1
7439,1
19728,6
85265,3
11540,3
298261,1
197910,1
294171,1
5401,3
303663,4
285980,1
11551,4
9506,3
7387,6
58660,2
203654,5
285993,1
1322,1
40235,2
9516,6
6706,1
93487,2
163120,1
93490,2
81203,5
232763,5
294205,2
20021,5
3392,2
286019,1
286020,1
21049,3
105800,2
105801,2
19787,3
3404,6
240525,1
93520,1
19794,3
134371,2
238389,1
150870,3
19001,6
93528,1
157018,5
19803,3
157021,6
19806,3
157024,6
157025,6
157026,3
157027,6
19812,3
286054,1
157031,6
1385,5
19818,3
20711,3
294255,2
19824,3
3441,1
91507,5
91508,5
45942,1
19830,3
11639,5
1400,1
10000049,1
157050,6
19836,3
13693,2
105854,2
3455,4
157057,6
157058,6
157059,2
298372,1
157061,6
157063,6
19848,3
157065,3
157066,6
13708,5
11661,2
19854,3
46317,2
19142,3
10000097,1
19860,3
3310,2
13719,5
6724,1
19866,3
10277,1
19872,3
163056,1
130971,1
19878,3
130972,1
146860,6
24818,3
23982,2
1344,1
19016,6
19890,3
256243,1
46517,2
294790,1
19896,3
9658,3
76703,6
32189,6
19902,3
42432,2
76704,6
7618,4
218563,4
19908,3
218566,2
76705,5
218568,6
19914,3
13218,1
19920,3
1489,2
21970,2
218579,2
218580,3
218581,6
19926,3
21975,1
24143,2
19932,3
3549,2
218590,2
156581,1
218592,6
218593,6
19938,3
13795,3
153062,1
34279,2
19944,3
19708,6
19950,3
151805,1
1278,1
19027,1
32244,1
218613,5
19350,2
200617,6
13816,5
19963,6
56828,3
30634,3
11774,6
10000043,1
282112,1
19970,1
142934,3
60935,4
7688,1
30777,1
10000084,1
19979,3
11788,3
11789,3
60942,5
256263,1
10000029,1
5379,2
46613,2
19990,3
141572,1
30235,3
151719,1
56862,2
19999,3
19064,3
19035,3
1572,1
103973,6
56241,5
26444,4
7721,3
44586,1
20011,5
151086,6
108080,2
55973,3
11826,1
112222,1
32144,1
24159,1
35583,1
12896,6
3655,6
77384,6
77385,6
77387,3
77388,6
77390,6
77391,3
6464,3
23172,1
77395,3
224854,1
142935,4
46682,2
20060,4
65118,6
142943,5
214734,3
7440,2
22114,1
44645,2
154897,6
20073,6
104042,3
104043,3
38508,2
22125,4
93806,2
126909,2
214640,6
20083,6
30325,6
32374,2
9999991,1
9999992,1
9999993,1
165498,1
9999995,1
20092,3
9999997,1
9999998,1
3215,1
22144,1
10000001,1
10000002,1
132739,5
32388,1
10000005,1
10000006,1
20103,6
10000008,1
10000009,1
10000010,1
10000011,1
10000012,1
20109,3
10000014,1
10000015,1
11649,6
10000017,1
10000018,1
10000019,1
10000020,1
218773,1
10000022,1
18878,3
93848,2
10000025,1
10000026,1
249499,3
10000028,1
218555,6
10000030,1
10000031,1
30368,1
10000033,1
10000034,1
7843,5
20132,5
44861,2
10000038,1
10000039,1
10000040,1
1308,1
294570,2
30379,6
10000044,1
10000045,1
106158,1
10000047,1
10000048,1
20145,6
10000050,1
8819,4
10000052,1
